Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Japan,JPN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,100.726371765137,100.29541015625,101.957023620605,101.656578063965,..,..,..,..,..
Japan,JPN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,10.2796401183986,9.51168639083475,9.86805539039468,10.4289811836792,10.7571321318288,11.5400866019735,12.5105472915645,12.6109193140118,12.2374619692456,..
Japan,JPN,"School enrollment, primary (% gross)",SE.PRM.ENRR,100.667419433594,101.324951171875,101.586578369141,101.8388671875,101.261543273926,100.24089050293,99.5385284423828,98.7999420166016,..,..
Japan,JPN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00515997409821,1.00559997558594,1.00511002540588,1.00558996200562,1.0056300163269,1.0056699514389,1.00547003746033,1.00462996959686,..,..
Japan,JPN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.0865478515625,99.5783462524414,100.444267272949,100.883399963379,101.242561340332,101.538688659668,101.388618469238,102.142272949219,..,..
Japan,JPN,Statistical Capacity score (Overall average),IQ.SCI.OVRL,..,..,..,..,..,..,..,..,..,..
Japan,JPN,Surface area (sq. km),AG.SRF.TOTL.K2,377940,377947,377950,377955,377960,377962,377962,377962,377962,377962
Japan,JPN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,8.93159165356451,8.36891038016266,8.80978443457721,9.35681820725527,9.68241294398788,10.3606176452117,11.4692065790191,11.4092706985788,11.1033645354834,..
Japan,JPN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,2.09183621347664,10.0262887092871
Japan,JPN,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,12.7,12.1,12.1,12.2,12.2
Japan,JPN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..,..,..,..,..,..
Japan,JPN,Urban population growth (annual %),SP.URB.GROW,1.1282732314255,0.976949089372748,0.928359532764857,0.097376604051583,-0.0730009971601782,-0.058733180126223,-0.047229106454087,-0.0218270263170706,-0.0321502241110393,-0.0792347118224776
"Korea, Rep.",KOR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1.9524,1.9058,1.8592,1.8126,1.766,1.7414,1.7168,1.6922,1.6676,..
